_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
1	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Rua Jose Moreira Reis, {})!	Bongi	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
2	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, `=-[	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
3	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Rua Velha, ?_$.	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
4	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Rua Marques do Herval, >#'\	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
5	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, $!>=	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
6	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, @}>	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
7	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Rua do Riachuelo, 9<-%	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
8	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, %$<!	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
9	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Rua Velha, .<^&	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
10	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Rua Marques do Herval, ^[{	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
11	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Avenida Dantas Barreto, {})!	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
12	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Avenida Dantas Barreto, #^>	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
13	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Rua do Riachuelo, ~|}[	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
14	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Avenida Dantas Barreto, /@9=	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
15	Planície	2022	ABRIL	2022-04-19T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	"Rua Velha, #""#~"	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	Analise Visual Estrutural				0
16	Planície	2022	ABRIL	2022-04-22T00:00:00	""	""	Rua Natal., $!>=	Cordeiro	Sem Localidade	""	2022-04-22T00:00:00	Acoes de Porta-Porta				0
17	Planície	2022	ABRIL	2022-04-22T00:00:00	""	""	Rua Natal., @}>	Cordeiro	Sem Localidade	""	2022-04-22T00:00:00	Atendimento Social				0
18	Planície	2022	ABRIL	2022-04-22T00:00:00	Imóveis com Danos / Risco	Vistoria em Imóveis	Rua Natal., 9<-%	Cordeiro	Sem Localidade	""	2022-04-22T00:00:00	Analise Visual Estrutural				0
19	Planície	2022	ABRIL	2022-04-22T00:00:00	""	""	Rua Colina do Tocantims, %$<!	Iputinga	Sem Localidade	""	2022-04-22T00:00:00	Acoes de Porta-Porta				0
20	Planície	2022	ABRIL	2022-04-22T00:00:00	""	""	Rua Colina do Tocantims, .<^&	Iputinga	Sem Localidade	""	2022-04-22T00:00:00	Atendimento Social				0
21	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Rua do Riachuelo, #$[	Boa Vista	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
22	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, .[?	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
23	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	Avenida Dantas Barreto, #_|/	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	atendimento Social				0
24	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	"Rua Marques do Herval, ""#*9"	Santo Antonio	Sem Localidade	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
25	Planície	2022	ABRIL	2022-04-19T00:00:00	""	""	"3ª Travessa Otacilio de Azevedo, +?""]"	Brejo de Beberibe	Nao Cadastrada	""	2022-04-19T00:00:00	Acoes de Porta-Porta				0
