_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
1	Oeste	2020	ABRIL	2020-04-29	""	Monitoramento	Rua Padre Antonio Vieira, %$<!	Cohab	Jardim Monte Verde	R3	2020-04-29	Mapeamento de Area de Risco	""	""	""	0
2	Oeste	2020	ABRIL	2020-04-28	""	""	Rua Sargento Lopes Filho, ~|}[	Cohab	Ur 02	""	2020-04-28	Acoes de Porta-Porta	""	""	""	0
3	Oeste	2020	ABRIL	2020-04-28	""	""	Rua Sargento Lopes Filho, #^>	Cohab	Ur 02	""	2020-04-28	Acoes de Porta-Porta	""	""	""	0
4	Oeste	2020	ABRIL	2020-04-28	""	""	Rua Sargento Lopes Filho, {})!	Cohab	Ur 02	""	2020-04-28	Acoes de Porta-Porta	""	""	""	0
5	Oeste	2020	ABRIL	2020-04-27	""	VISTORIA	Rua Cecilia Meireles, /@9=	Barro	Loteamento Grande Recife	R4	2020-04-27	Analise Visual Estrutural	""	""	""	0
6	Oeste	2020	ABRIL	2020-04-29	""	Monitoramento	Rua Saegento Lopes Filho, 9<-%	Cohab	Ur 01	R3	2020-04-29	Mapeamento de Area de Risco	""	""	""	0
7	Oeste	2020	ABRIL	2020-04-27	""	VISTORIA	"Rua Rio, +?""]"	Varzea	Brega e Chique	""	2020-04-27	Atendimento Social	""	""	""	0
8	Oeste	2020	ABRIL	2020-04-27	""	VISTORIA	"Rua Rio Gramame, #""#~"	Varzea	Brega e Chique	R3	2020-04-27	Analise Visual Estrutural	""	""	""	0
9	Oeste	2020	ABRIL	2020-04-29	""	Monitoramento	Rua Rouxinol, @}>	Cohab	Ur 01	R3	2020-04-29	Mapeamento de Area de Risco	""	""	""	0
10	Nordeste	2020	Abril	2020-04-20	""	Monitoramento	"Rua Plinio Coelho, +?""]"	Nova Descoberta	Corrego Pedro da Cocada	R3	2020-04-20	""	""	""	""	0
11	Sul	2020	Abril	2020-04-18	""	Colocação de Lonas Plásticas	Rua Doutor Pulo de Biase, >#'\	Cohab	Lagoa Encantada	""	2020-04-18	Mapeamento de Area de Risco	3.0	15.0	8.0	360
12	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, .[?	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
13	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, #$[	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
14	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, `=-[	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
15	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, ?_$.	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
16	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, >#'\	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
17	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, $!>=	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	2.0	15.0	8.0	240
18	Nordeste	2020	Abril	2020-04-20	""	Monitoramento	Rua Plinio Coelho, {})!	Nova Descoberta	Corrego Pedro da Cocada	R3	2020-04-20	""	""	""	""	0
19	Nordeste	2020	Abril	2020-04-20	""	Monitoramento	Rua Plinio Coelho, ^[{	Nova Descoberta	Corrego Pedro da Cocada	R3	2020-04-20	""	""	""	""	0
20	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, @}>	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	1.0	15.0	8.0	120
21	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, 9<-%	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	1.0	15.0	8.0	120
22	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, %$<!	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	""	""	""	0
23	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, .<^&	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	""	""	""	0
24	Sul	2020	Abril	2020-04-18	""	Monitoramento	Rua Francisco Gomes Simas, ^[{	Cohab	Ur 05	""	2020-04-18	Mapeamento de Area de Risco	""	""	""	0
