_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
1	Oeste	2024	Abril	2024-04-03T00:00:00	""	""	Rua Caputira, #^>	Varzea	Barreiras	""	2024-04-03T00:00:00	Atendimento Social				0
2	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Vistoria	Rua Cruzeiro do Oeste, ~|}[	Guabiraba	Alto da Guabiraba	R3	2024-04-16T00:00:00	Atendimento Social				0
3	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Colocação de Lonas Plásticas	Subida Dona Catarina, #^>	Nova Descoberta	Alto da Brasileira	""	2024-04-16T00:00:00	""	1	15	8	120
4	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Colocação de Lonas Plásticas	Subida Dona Catarina, {})!	Nova Descoberta	Alto da Brasileira	""	2024-04-16T00:00:00	""	1	20	8	160
5	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto da Brasileira, ^[{	Nova Descoberta	Alto da Brasileira	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
6	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto da Brasileira, .<^&	Nova Descoberta	Alto da Brasileira	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
7	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto das Queimadas, %$<!	Nova Descoberta	Alto das Queimadas	R4	2024-04-16T00:00:00	Acoes de Porta-Porta				0
8	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto das Queimadas, 9<-%	Nova Descoberta	Alto das Queimadas	R3	2024-04-16T00:00:00	Acoes de Porta-Porta				0
9	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto das Queimadas, @}>	Nova Descoberta	Alto das Queimadas	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
10	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto das Queimadas, $!>=	Nova Descoberta	Alto das Queimadas	R3	2024-04-16T00:00:00	Acoes de Porta-Porta				0
11	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto das Queimadas, >#'\	Nova Descoberta	Alto das Queimadas	R3	2024-04-16T00:00:00	Acoes de Porta-Porta				0
12	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Joao Limoeiro, ?_$.	Dois Irmaos	Corrego da Fortuna	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
13	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Alto da Boa Esperanca, `=-[	Dois Irmaos	Corrego da Fortuna	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
14	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Agulha, #$[	Nova Descoberta	Alto do Refugio	""	2024-04-16T00:00:00	Atendimento Social				0
15	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Dra Amelia Siqueira, .[?	Nova Descoberta	Alto das Pedrinhas	""	2024-04-16T00:00:00	Atendimento Social				0
16	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Jequiri, #_|/	Brejo da Guabiraba	Corrego Jose Idalino	""	2024-04-16T00:00:00	Atendimento Social				0
17	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	"Rua Jequiri, ""#*9"	Brejo da Guabiraba	Corrego Jose Idalino	""	2024-04-16T00:00:00	Atendimento Social				0
18	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	"Rua Jacipora, +?""]"	Brejo da Guabiraba	Corrego Manoel das Meninas	""	2024-04-16T00:00:00	Atendimento Social				0
19	Nordeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	"Rua Jacipora, #""#~"	Brejo da Guabiraba	Corrego Manoel das Meninas	""	2024-04-16T00:00:00	Atendimento Social				0
20	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, /@9=	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
21	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, ~|}[	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
22	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, #^>	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
23	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, {})!	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
24	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, ^[{	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
25	Noroeste	2024	Abril	2024-04-16T00:00:00	""	Monitoramento	Rua Baguari, .<^&	Nao Informado	Alto Jose do Pinho	R2	2024-04-16T00:00:00	Acoes de Porta-Porta				0
