_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
1	Oeste	2023	ABRIL	2023-04-27T00:00:00	""	""	"Rua Monte Pascoal, ""#*9"	Cohab	Jardim Monte Verde	""	2023-03-27T00:00:00	ATENDIMENTO SOCIAL				0
2	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	Monitoramento	Rua Barra do Sagi, $!>=	Varzea	Brega e Chique	R3	2023-04-28T00:00:00	""				0
3	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	Monitoramento	Rua Jose Antonio da Costa Filho, >#'\	Varzea	Jardim Teresopolis	R3	2023-04-28T00:00:00	""				0
4	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Vale do Jaguaribe, ?_$.	Varzea	Brega e Chique	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
5	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Vale do Jaguaribe, `=-[	Varzea	Brega e Chique	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
6	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Serra Verde, #$[	Varzea	Rosa Selvagem	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
7	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Barra do Sagi, .[?	Varzea	Brega e Chique	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
8	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Jose Antonio da Costa Filho, #_|/	Varzea	Jardim Teresopolis	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
9	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	Monitoramento	"Rua da Paz, ""#*9"	Barro	Vila dos Milagres	R3	2023-04-28T00:00:00	""				0
10	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	Monitoramento	Rua Serra Verde, @}>	Varzea	Rosa Selvagem	R2	2023-04-28T00:00:00	""				0
11	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	Monitoramento	"Rua da Paz, +?""]"	Barro	Vila dos Milagres	R3	2023-04-28T00:00:00	""				0
12	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua da Paz, /@9=	Barro	Vila dos Milagres	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
13	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua da Paz, ~|}[	Barro	Vila dos Milagres	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
14	Oeste	2023	ABRIL	2023-04-28T00:00:00	""	""	Rua Nossa Senhora do Carmo, #^>	Barro	Vila dos Milagres	""	2023-04-28T00:00:00	ATENDIMENTO SOCIAL				0
